bias 偏爱
analysz 分析
burden 负担
urge 督促
urgent 紧急的，迫切的
athlete 运动员
justice 正义，合理
justify 证明有理，辩解
behave 表现
alter 变更
alternative 可供替代的，非传统的
atmosphere 空气，大气层
hemisphere 半球
catalog 目录
category 类别
bond 联系，纽带
faculty 能力，教师，天赋
factor 因素
factory 工厂
battery 电池
battle 战斗
cancer 癌症
alcohol 酒精
basis 方式，基础，原因
database 数据库
bacteria 细菌
serve 服务
deserve 值的，应受
reserve 预定，保留
pioneer 先锋，先驱，拓荒者
volunteer 志愿者
reform 改革，变革
former 以前的
formula 公式，方案，配方
extreme 极端的，极度的
external 外部的
superior 更好的，上级
Junior 初级的，地位低下的
disorder 杂乱的，疾病，紊乱
display 展示
dispute 争议，争论
distract 分散，使分心
discourage 使泄气，阻拦
texture 质地，口感
acupuncture 针刺疗法
architecture 建筑，建筑学
sculpture 雕塑品
structure 结构，建筑物
infrastructure 基础设施，基础建设
leisure 闲暇，休闲
feature 特征，特色
decrease 减少
deplete 耗尽，使枯竭
detect 发明，侦探，察觉
decline 下降
depend 依赖，依靠
deposit 放下，寄存，沉淀物
desert 沙漠
despite 尽管
detail 细节，具体情况
default 违约，拖欠，默认
desire 渴望
declare 宣称，宣告
define 下定义
delay 延迟
deliver 传送，发表，接生
demonstrate 说明，发表，展示
determine 决定
familiar 熟悉的
solar 太阳的，太阳能的
nuclear 核能的
scholar 学者
seminar 研讨会，研讨课
comment 评论，解释，批评
mental 心理的，智力上的
mention 提到，提及
remind 使想起，提醒
document 文件，文档
implement 执行，工具
monument 纪念碑
parliament 议会，英国议会
