rival 竞争对手，与..匹敌
thrive 茁壮成长，繁荣，蓬勃发展
cave 洞穴
barrel 桶，高速前进
circus 马戏团，马戏表演
satellite 卫星
purchase 购买
purpose 目的，意图
pursue 追求，贯彻，追赶
minimun 最小的
minister 部长，牧师
carbon 复写纸，碳
cite 引用
calorie 卡路里
clone 克隆
private 私人的
privilege 特权，优惠
civil 公民的，有礼貌的
philosophy 哲学，人生信条
sophisticated 老练的，高级的
coast 海岸，海滨
campaign 活动，运动
version 版本
reverse 反转，交换
convert 转换，转变
symptom 症状
syndrome 综合症，典型表现
prohibit 阻止，禁止
prompt 提示，立即的
profit 收益，利润
intelligent 聪明的，有才能的
interview 面试，采访
entrepreneur 创业者，企业家
enterprise 企业，事业，进取心
interfere 干预，干涉
internal 内部的，体制的
cognitive 认知的
sensitive 敏感的，体贴的，易生气的
embrace 拥抱，欣然接受
enthusiasm 热情，热衷的事物
enroll 加入，登记
envelope 包裹，包住
ensure 确保
encourage 鼓励，促进
endure 忍受
enhance 增强
engage 吸引，雇佣，参与
endorse 赞同，支持，代言
entail 需要，牵制，导致
merchant 商人，批发商
tenant 住户，租户
reluctant 不情愿的
significant 重要的，有重大意义的
exercise 运动
recognize 认出，意识到
criticize 批评，评论
vulnerable 脆弱的
available 可获得的
invisible 看不见的，无形的
flexible 柔软的，灵活的
responsible 负责任的，责任重大的
setting 地点，环境，档位
regarding 关于
motivate 促进
incorporate 包含在内，包含，注册成立
illustrate 说明，证明
navigate 导航
indicate 暗示，表明
investigate 调查
simulate 刺激，促进，激发
calculate 计算，估计，预料
celebrate 庆祝，赞美，颂扬
communicate 交流，传达
dominate 支配，控制，占主导地位
migrate 迁徙
exaggerate 夸大的
ultimate 最后的，极度的
immediate 立刻的，当前的，紧急的
climate 气候，气氛区
undergraduate 本科生
