perspective 观点，角度景观
respect 尊重，敬重
suspect 怀疑，犯罪嫌疑人
fund 基金，为...提供资金
fundamental 基础的，基本的
peak 山峰
plain 平坦的，平原
labour 劳动力，工作
laboretory 实验室
identity 身份，一致，同一性
simultaneous 同时发生的，同步的
physician 内科医生
physics 物理学
fortune 运气，财富
premium 保险费，高昂的，优秀的
presitge 声望，威信，令人敬仰的
preserve 保护，保留
president 总统，校长
previous 先前的，以往的
prevent 阻止
previal 盛行，流行的
retain 保留，保持
contain 包含
maintain 维持，保持，维修
hinder 阻碍，牵制
technique 技术，方法
diminish 减小，削弱，贬低
diverse 各种各样的，不同的
distinct 清晰的，明确的，不同种类的，确定无疑的
distinguish 区分，辨别
district 地区，区域
escape 逃走，摆脱
capable 有能力的，足以胜任的
capacity 容积，能力
capture 捕捉
participate 参加，参与
principle 原理，法则
proper 适当的
property 财产，所有物，房地产
packge 背包
beverage 饮料
utility 实用，效用
quality 品质
celebrity 名人，明星，名望
authority 权利，权威，专家，当局
community 社区
electricity 电，电能
metabolism 新陈代谢
journalism 新闻报道，新闻工作
reputation 声望
foundation 基础，地基
agent 代理人，经纪人，间谍
component 组成成分
continent 大陆，洲
ancient 古老的
consistent 一致的，连续的
frequent 经常的，频繁的
illiterate 文盲，不识字的
import 进口
imply 暗示，表明
improve 提升，改进
independent 独立的
infant 婴儿期
invest 投资
inspire 激发，促进，鼓舞
insight 洞察力，觉悟
intend 打算，准备
intensive 集中的，彻底的
inner 内心的，内部的
insure 投保，为...提供保险
enquire 询问，打听
insect 昆虫
intense 强烈的，激烈的
